id,xcoord,ycoord
1,49281.799761090544,424767.14855203056
2,49357.662585628335,424544.45445424
3,49453.10291327481,424321.76035645296
4,49558.33199247341,424045.2281251238
5,49668.455447450324,423800.50933634146
6,49781.026090314204,423506.84678980196
7,49881.360793733096,423137.3214187363
8,49922.96298783089,422890.1554420662
